‐  hyphen
⍣  apl functional symbol star diaeresis
⍤  apl functional symbol jot diaeresis
⍥  apl functional symbol circle diaeresis
⍦  apl functional symbol down shoe stile
⍧  apl functional symbol left shoe stile
⍨  apl functional symbol tilde diaeresis
⍩  apl functional symbol greater-than diaeresis
⍪  apl functional symbol comma bar
⍫  apl functional symbol del tilde
⍬  apl functional symbol zilde
⍭  apl functional symbol stile tilde
⍮  apl functional symbol semicolon underbar
⍯  apl functional symbol quad not equal
⍰  apl functional symbol quad question
⍱  apl functional symbol down caret tilde
⍲  apl functional symbol up caret tilde
⍳  apl functional symbol iota
⍴  apl functional symbol rho
⍵  apl functional symbol omega
⍶  apl functional symbol alpha underbar
⍷  apl functional symbol epsilon underbar
⍸  apl functional symbol iota underbar
⍹  apl functional symbol omega underbar
⍺  apl functional symbol alpha
⍻  not check mark
⍼  right angle with downwards zigzag arrow
⍽  shouldered open box
⍾  bell symbol
⍿  vertical line with middle dot
⎀  insertion symbol
⎁  continuous underline symbol
⎂  discontinuous underline symbol
⎃  emphasis symbol
⎄  composition symbol
⎅  white square with centre vertical line
⎆  enter symbol
⎇  alternative key symbol
⎈  helm symbol
⎉  circled horizontal bar with notch
⎊  circled triangle down
⎋  broken circle with northwest arrow
⎌  undo symbol
⎍  monostable symbol
⎎  hysteresis symbol
⎏  open-circuit-output h-type symbol
⎐  open-circuit-output l-type symbol
⎑  passive-pull-down-output symbol
⎒  passive-pull-up-output symbol
⎓  direct current symbol form two
⎔  software-function symbol
⎕  apl functional symbol quad
⎖  decimal separator key symbol
⎗  previous page
⎘  next page
⎙  print screen symbol
⎚  clear screen symbol
⎛  left parenthesis upper hook
⎜  left parenthesis extension
⎝  left parenthesis lower hook
⎞  right parenthesis upper hook
⎟  right parenthesis extension
⎠  right parenthesis lower hook
⎡  left square bracket upper corner
⎢  left square bracket extension
⎣  left square bracket lower corner
⎤  right square bracket upper corner
⎥  right square bracket extension
⎦  right square bracket lower corner
⎧  left curly bracket upper hook
⎨  left curly bracket middle piece
⎩  left curly bracket lower hook
⎪  curly bracket extension
⎫  right curly bracket upper hook
⎬  right curly bracket middle piece
⎭  right curly bracket lower hook
⎮  integral extension
⎯  horizontal line extension
⎰  upper left or lower right curly bracket section
⎱  upper right or lower left curly bracket section
⎲  summation top
⎳  summation bottom
⎴  top square bracket
⎵  bottom square bracket
⎶  bottom square bracket over top square bracket
⎷  radical symbol bottom
⎸  left vertical box line
⎹  right vertical box line
⎺  horizontal scan line-1
⎻  horizontal scan line-3
⎼  horizontal scan line-7
⎽  horizontal scan line-9
⎾  dentistry symbol light vertical and top right
⎿  dentistry symbol light vertical and bottom right
⏀  dentistry symbol light vertical with circle
⏁  dentistry symbol light down and horizontal with circle
⏂  dentistry symbol light up and horizontal with circle
⏃  dentistry symbol light vertical with triangle
⏄  dentistry symbol light down and horizontal with triangle
⏅  dentistry symbol light up and horizontal with triangle
⏆  dentistry symbol light vertical and wave
⏇  dentistry symbol light down and horizontal with wave
⏈  dentistry symbol light up and horizontal with wave
⏉  dentistry symbol light down and horizontal
⏊  dentistry symbol light up and horizontal
⏋  dentistry symbol light vertical and top left
⏌  dentistry symbol light vertical and bottom left
⏍  square foot
⏎  return symbol
⏏  eject symbol
⏐  vertical line extension
⏑  metrical breve
⏒  metrical long over short
⏓  metrical short over long
⏔  metrical long over two shorts
⏕  metrical two shorts over long
⏖  metrical two shorts joined
⏗  metrical triseme
⏘  metrical tetraseme
⏙  metrical pentaseme
⏚  earth ground
⏛  fuse
⏜  top parenthesis
⏝  bottom parenthesis
⏞  top curly bracket
⏟  bottom curly bracket
⏠  top tortoise shell bracket
⏡  bottom tortoise shell bracket
⏢  white trapezium
⏣  benzene ring with circle
⏤  straightness
⏥  flatness
⏦  ac current
⏧  electrical intersection
⏨  decimal exponent symbol
⏩  black right-pointing double triangle
⏪  black left-pointing double triangle
⏫  black up-pointing double triangle
⏬  black down-pointing double triangle
⏭  black right-pointing double triangle with vertical bar
⏮  black left-pointing double triangle with vertical bar
⏯  black right-pointing triangle with double vertical bar
⏰  alarm clock
⏱  stopwatch
⏲  timer clock
⏳  hourglass with flowing sand
⏴  black medium left-pointing triangle
⏵  black medium right-pointing triangle
⏶  black medium up-pointing triangle
⏷  black medium down-pointing triangle
⏸  double vertical bar
⏹  black square for stop
⏺  black circle for record
⏻  power symbol
⏼  power on-off symbol
⏽  power on symbol
⏾  power sleep symbol
⏿  observer eye symbol
①  circled digit one
②  circled digit two
③  circled digit three
④  circled digit four
⑤  circled digit five
⑥  circled digit six
⑦  circled digit seven
⑧  circled digit eight
⑨  circled digit nine
⑩  circled number ten
⑪  circled number eleven
⑫  circled number twelve
⑬  circled number thirteen
⑭  circled number fourteen
⑮  circled number fifteen
⑯  circled number sixteen
⑰  circled number seventeen
⑱  circled number eighteen
⑲  circled number nineteen
⑳  circled number twenty
⑴  parenthesized digit one
⑵  parenthesized digit two
⑶  parenthesized digit three
⑷  parenthesized digit four
⑸  parenthesized digit five
⑹  parenthesized digit six
⑺  parenthesized digit seven
⑻  parenthesized digit eight
⑼  parenthesized digit nine
⑽  parenthesized number ten
⑾  parenthesized number eleven
⑿  parenthesized number twelve
⒀  parenthesized number thirteen
⒁  parenthesized number fourteen
⒂  parenthesized number fifteen
⒃  parenthesized number sixteen
⒄  parenthesized number seventeen
⒅  parenthesized number eighteen
⒆  parenthesized number nineteen
⒇  parenthesized number twenty
⒈  digit one full stop
⒉  digit two full stop
⒊  digit three full stop
⒋  digit four full stop
⒌  digit five full stop
⒍  digit six full stop
⒎  digit seven full stop
⒏  digit eight full stop
⒐  digit nine full stop
⒑  number ten full stop
⒒  number eleven full stop
⒓  number twelve full stop
⒔  number thirteen full stop
⒕  number fourteen full stop
⒖  number fifteen full stop
⒗  number sixteen full stop
⒘  number seventeen full stop
⒙  number eighteen full stop
⒚  number nineteen full stop
⒛  number twenty full stop
⒜  parenthesized latin small letter a
⒝  parenthesized latin small letter b
⒞  parenthesized latin small letter c
⒟  parenthesized latin small letter d
⒠  parenthesized latin small letter e
⒡  parenthesized latin small letter f
⒢  parenthesized latin small letter g
⒣  parenthesized latin small letter h
⒤  parenthesized latin small letter i
⒥  parenthesized latin small letter j
⒦  parenthesized latin small letter k
⒧  parenthesized latin small letter l
⒨  parenthesized latin small letter m
⒩  parenthesized latin small letter n
⒪  parenthesized latin small letter o
⒫  parenthesized latin small letter p
⒬  parenthesized latin small letter q
⒭  parenthesized latin small letter r
⒮  parenthesized latin small letter s
⒯  parenthesized latin small letter t
⒰  parenthesized latin small letter u
⒱  parenthesized latin small letter v
⒲  parenthesized latin small letter w
⒳  parenthesized latin small letter x
⒴  parenthesized latin small letter y
⒵  parenthesized latin small letter z
Ⓐ  circled latin capital letter a
Ⓑ  circled latin capital letter b
Ⓒ  circled latin capital letter c
Ⓓ  circled latin capital letter d
Ⓔ  circled latin capital letter e
Ⓕ  circled latin capital letter f
Ⓖ  circled latin capital letter g
Ⓗ  circled latin capital letter h
Ⓘ  circled latin capital letter i
Ⓙ  circled latin capital letter j
Ⓚ  circled latin capital letter k
Ⓛ  circled latin capital letter l
Ⓜ  circled latin capital letter m
Ⓝ  circled latin capital letter n
Ⓞ  circled latin capital letter o
Ⓟ  circled latin capital letter p
Ⓠ  circled latin capital letter q
Ⓡ  circled latin capital letter r
Ⓢ  circled latin capital letter s
Ⓣ  circled latin capital letter t
Ⓤ  circled latin capital letter u
Ⓥ  circled latin capital letter v
Ⓦ  circled latin capital letter w
Ⓧ  circled latin capital letter x
Ⓨ  circled latin capital letter y
Ⓩ  circled latin capital letter z
ⓐ  circled latin small letter a
ⓑ  circled latin small letter b
ⓒ  circled latin small letter c
ⓓ  circled latin small letter d
ⓔ  circled latin small letter e
ⓕ  circled latin small letter f
ⓖ  circled latin small letter g
ⓗ  circled latin small letter h
ⓘ  circled latin small letter i
ⓙ  circled latin small letter j
ⓚ  circled latin small letter k
ⓛ  circled latin small letter l
ⓜ  circled latin small letter m
ⓝ  circled latin small letter n
ⓞ  circled latin small letter o
ⓟ  circled latin small letter p
ⓠ  circled latin small letter q
ⓡ  circled latin small letter r
ⓢ  circled latin small letter s
ⓣ  circled latin small letter t
ⓤ  circled latin small letter u
ⓥ  circled latin small letter v
ⓦ  circled latin small letter w
ⓧ  circled latin small letter x
ⓨ  circled latin small letter y
ⓩ  circled latin small letter z
⓪  circled digit zero
⓫  negative circled number eleven
⓬  negative circled number twelve
⓭  negative circled number thirteen
⓮  negative circled number fourteen
⓯  negative circled number fifteen
⓰  negative circled number sixteen
⓱  negative circled number seventeen
⓲  negative circled number eighteen
⓳  negative circled number nineteen
⓴  negative circled number twenty
⓵  double circled digit one
⓶  double circled digit two
⓷  double circled digit three
⓸  double circled digit four
⓹  double circled digit five
⓺  double circled digit six
⓻  double circled digit seven
⓼  double circled digit eight
⓽  double circled digit nine
⓾  double circled number ten
⓿  negative circled digit zero
─  box drawings light horizontal
